id,scenario_id,question_text,correct_answer,topic,ase_area
08b33690-4082-4d55-bad9-c681111c7fd9,no-crank-11,What could be the reason for a vehicle not cranking when attempting to start?,A,Engine Starting Issues,L1
0ef6d726-e2b8-4f86-a5db-4a09e893b2cd,no-crank-11,"If a technician checks the battery and finds it is fully charged but the vehicle still won't start, what should be the next step?",B,Engine Starting Issues,L1
1498617d-3695-42b5-8803-e38177a15aaa,no-crank-11,Which diagnostic tool would be most useful in determining why a vehicle is not cranking?,B,Engine Starting Issues,L1
3059fb0d-5b16-40d9-aae4-608fee43a496,no-crank-11,What could cause a vehicle to crank over but fail to ignite?,C,Engine Starting Issues,L1
5e6cc75c-199f-455f-a565-6beb1a84819c,no-crank-11,What could cause a vehicle to crank but not start?,A,Engine Starting Issues,L1
b49b069c-f2e3-4358-bffc-40320e9909be,no-crank-11,"If a vehicle cranks but does not start, which of the following should be checked?",B,Engine Starting Issues,L1
0a8d4e9f-65cd-4c85-90e5-8205f3c4caec,no-start,What could be a reason for a car not starting if it has been recently serviced?,D,Vehicle Troubleshooting,Engine
1651d830-dd2b-4215-a10e-82e4a5a46a55,no-start,What could be the reason for a car not starting when you turn the key?,A,Vehicle Troubleshooting,Engine
18e6a274-d3c9-409d-b801-831ca1a9e5c7,no-start,What might cause a vehicle to fail to start if it has been recently fueled?,C,Vehicle Troubleshooting,Fuel System
2f677345-e2f4-4f03-9327-b21cf832f538,no-start,"If a car does not start, which of these should be checked first?",C,Vehicle Troubleshooting,Engine
35c62894-15cd-42ea-9558-f8ea7a971350,no-start,"If a car does not start, which of these should be checked to ensure the issue is not related to the battery?",C,Vehicle Troubleshooting,Engine
5c2add46-2622-4e15-8012-cff5d47ce1a5,no-start,Which of these would be a likely cause for a car failing to start in cold weather?,B,Vehicle Troubleshooting,Engine
a24b3dc1-8aa8-45b4-ae63-637ddb2892ab,no-start,Which component failure would most likely result in a car not starting?,A,Vehicle Troubleshooting,Engine
b37bf687-7bcc-42f2-8639-b8f355cf135e,no-start,Which of these could cause a vehicle to fail to start?,B,Vehicle Troubleshooting,Engine
1812e0e7-2593-4195-a8a0-c1c9a1cc9627,overheating,You are performing a diagnostic check on the engine's cooling system. The coolant temperature gauge reads above normal after 10 minutes of driving. What is the most likely cause if you observe that the cooling fan does not turn on when it should?,B,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
2176a14e-2e0f-42cd-b0de-b93a7a218069,overheating,You are performing a diagnostic check on the engine's cooling system. The coolant temperature gauge reads above normal after 10 minutes of driving. What is the most likely cause if you observe that the water pump is not circulating coolant properly?,B,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
5771c9a8-272b-4da0-9062-ffbeb972d127,overheating,You are performing a diagnostic check on the engine's cooling system. The coolant temperature gauge reads above normal after 10 minutes of driving. What is the most likely cause if you observe that the water pump is making unusual noises?,C,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
92c43aa2-0f71-46f8-88fe-239c3f07e8d0,overheating,"During a diagnostic check of the engine's cooling system, you notice that the coolant temperature gauge reads above normal after driving for about 10 minutes. What is the most likely cause if the radiator fins are dirty or clogged?",B,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
a7a611c3-473e-46ba-9e2d-6cf2bc62b1c3,overheating,"During a diagnostic check of the engine's cooling system, you notice that the coolant temperature gauge reads above normal after driving for about 10 minutes. Which component should be your first point of inspection?",A,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
b4a7a640-7609-4fb4-917f-2120fc1a673b,overheating,"During a diagnostic check of the engine's cooling system, you notice that the coolant temperature gauge reads above normal after driving for about 10 minutes. What is the most likely cause if the thermostat opens too early or not at all?",A,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
c53b8d72-bb9f-4cfa-a368-e293aeae942d,overheating,"You have just replaced the thermostat in a vehicle with an overheating issue. After driving for 10 minutes, you notice that the engine temperature is still high. What should be your next step?",B,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
dcfb1915-a612-4293-baa7-036fdc03c734,overheating,"During a diagnostic check of the engine's cooling system, you observe that the coolant temperature gauge reads above normal after driving for about 10 minutes. What is the most likely cause if the radiator appears to be functioning properly?",A,"cooling system diagnostics, thermostat, radiator airflow, coolant flow, water pump, cooling fan operation",A7 Heating and Air Conditioning
1244a9c4-267a-4341-9698-f9e2ec7d24c5,power-loss,"During a road test, the vehicle struggles to accelerate uphill. A scan tool shows no fault codes related to engine performance. What is the most likely cause of this issue?",A,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
4f9ab4de-dc88-494a-a66f-1846aec4aa4c,power-loss,"During a road test, you notice that the vehicle accelerates poorly but does not show any fault codes. What should be your next step in diagnosing this issue?",B,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
6521f506-47d4-478e-a057-f42ec891d02d,power-loss,You suspect a potential issue with the mass airflow (MAF) sensor. Which of the following symptoms would you expect to observe during a road test?,B,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
7394aea2-5666-49fa-937f-5d07c4eea535,power-loss,You perform a visual inspection of the exhaust system and notice that one of the mufflers is loose. What immediate effect could this have on the vehicle's performance?,D,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
808a0c2d-ecf7-4a83-a5cd-0193690ee3fd,power-loss,You suspect a potential issue with the throttle position sensor (TPS). Which of the following symptoms would you expect to observe during a road test?,B,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
b6b38c65-e838-4a19-bef5-e0ddfd07341e,power-loss,"During a diagnostic test, you observe that the manifold absolute pressure (MAP) sensor is reading higher than normal values. What could be causing this issue?",B,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
bc369c78-e7c8-4d77-b6a4-e803990bafb1,power-loss,"Upon visual inspection of the engine compartment, you notice a loose vacuum hose connected to the throttle body. What is the most likely immediate effect on the vehicle's performance?",B,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
c2c75554-cc6d-466b-82c8-8a37ac4c1afd,power-loss,"During a pressure test of the fuel system, you notice that the fuel pressure is lower than expected. What could be causing this issue?",A,"engine power loss under load, fuel delivery, air intake restriction, exhaust restriction, transmission slip, sensor diagnostics",A8 Engine Performance
0ddb93c4-a2a9-4355-8525-6178d005f986,stalling,What is the most common cause of stalling in a car?,C,Automotive Engine Issues,Engine
10210597-b475-4687-b72f-f658e5f740d1,stalling,"During a stall diagnosis, you notice the engine is running rich. What could be causing this condition?",A,Fuel System and Air/Fuel Mixture,Engine
12092db1-05e9-40c2-96a9-7d9e8c0fdf66,stalling,Which diagnostic tool would be most useful in identifying stalling issues related to the ignition system?,B,Ignition System Diagnosis,Engine
27ec8561-de4c-45cb-b369-51ebf4ae1ee1,stalling,"If a vehicle is experiencing stalling when cold but runs fine after warming up, what could be the issue?",C,Cold Start Enrichment System,Engine
5e7dc7ef-9e7d-4f0f-999a-4b255d356de2,stalling,"What is a common sign that your vehicle's fuel pump might be failing, causing stalling?",C,Fuel Pump Failure,Engine
8eca514e-857e-4df5-a40e-224833606ec1,stalling,"Which component is crucial for ensuring proper fuel delivery to the engine, preventing stalling?",A,Fuel System Components,Engine
ac46ae51-c823-4c11-bdfa-a780f4b84538,stalling,Which of these would be a primary concern when diagnosing stalling issues in an older vehicle?,C,Engine Vacuum System,Engine
afec7dd9-5627-441d-b657-7d1cbe7425e3,stalling,What could be a reason for intermittent stalling in an otherwise well-maintained vehicle?,C,Electrical System Issues,Electrical
022874a7-6748-4d82-8191-f8688176c0aa,steering-alignment,Which of the following is a potential consequence of improper steering alignment?,C,Consequences of Misalignment,ST
1651282b-2a85-4a6d-a278-718fab12d8b0,steering-alignment,What tool is commonly used during a steering alignment to measure and adjust the camber angle?,B,Tools Used in Alignment,ST
4325494f-6463-462a-9d0c-370d72fea486,steering-alignment,"What is the term used to describe the angle between the wheel and the vertical axis, which can affect how the tire contacts the road surface?",C,Wheel Alignment Angles,ST
6803600e-4f34-4b00-a909-1bea617e8be7,steering-alignment,Which of the following is NOT a benefit of regular steering alignment?,D,Benefits of Regular Alignment,ST
8a2ca613-2266-4f4e-a8c3-c2d49cf379db,steering-alignment,Which of the following is NOT a common symptom that may indicate the need for steering alignment?,C,Symptoms of Misalignment,ST
95b5db30-a9b9-47e8-9842-78a321fd8c26,steering-alignment,"During a steering alignment, which component is NOT typically adjusted?",D,Components Adjusted During Alignment,ST
ac4c3193-cb5f-41af-a5ac-7193d36e3e55,steering-alignment,What should a technician do if they notice that one tire has significantly more wear than the others during a visual inspection?,C,Identifying Misalignment Indicators,ST
aeffe72d-232a-41b0-9af0-b5c87577ab1e,steering-alignment,What is the primary purpose of performing a steering alignment?,C,Steering System Maintenance,ST
